CITY,COMPANYNAME,COSTCENTER,COUNTRY,DEPARTMENTNAME,EMPLOYEETYPE,JOB_ID,LOCATION,MANAGER,REGIONCODE,STATUSKEY,TITLE,Result
9d996c41fab82bb2c97f34597ecc53be68239b07,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,CA,0471386edfe0bf057e3ed471b66689189fdc892c,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,131,Ontario,1,81985250b5c6e552b23407c7da1a0f64d230e2f3,NO ACCESS
,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,,0471386edfe0bf057e3ed471b66689189fdc892c,Canadian Full Time Employee,1177619,,131,,1,860df6fbef0dda58862c5eada8c75bd87697e246,NO ACCESS
9d996c41fab82bb2c97f34597ecc53be68239b07,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,CA,0471386edfe0bf057e3ed471b66689189fdc892c,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,131,Ontario,1,860df6fbef0dda58862c5eada8c75bd87697e246,NO ACCESS
,,,,0471386edfe0bf057e3ed471b66689189fdc892c,Canadian Full Time Employee,1177619,,131,,1,cf91f025bdc1ed81190ad3349c3b78c86f6ebb70,NO ACCESS
13632b51a426e4d019b5d6b32eb3d85d8e35fb0d,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,CA,4143d04801509c0f05f2b64b73d05b0eb3ac3d70,Canadian Full Time Employee,1177619,13632b51a426e4d019b5d6b32eb3d85d8e35fb0d,429,Ontario,1,d063781246c66bbbe67f11b720c5c7475505db78,NO ACCESS
9d996c41fab82bb2c97f34597ecc53be68239b07,5d9773d918afc7e1d450ba41230c380ca25b8ffe,,CA,,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,319,Ontario,1,7d4f989defebe37befd8342244f29a837bd4cbe7,NO ACCESS
9d996c41fab82bb2c97f34597ecc53be68239b07,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,CA,0471386edfe0bf057e3ed471b66689189fdc892c,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,229,Ontario,1,706f5a1e452e92483f534b769a09cdcd64c251a9,NO ACCESS
9d996c41fab82bb2c97f34597ecc53be68239b07,5d9773d918afc7e1d450ba41230c380ca25b8ffe,,CA,,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,319,Ontario,1,7d4f989defebe37befd8342244f29a837bd4cbe7,NO ACCESS
9d996c41fab82bb2c97f34597ecc53be68239b07,,,CA,,Canadian Full Time Employee,1177619,9d996c41fab82bb2c97f34597ecc53be68239b07,319,Ontario,1,a16e214b18493383b9abbd6193bcc02b6c434308,NO ACCESS
4c57f0c88d9844630327623633ce269cf826ab99,4f213afc89dbdaede4c09acd3d6c9aed3296055a,,CA,62d6df80d09d4ab66a7483214c75e502475271a4,Canadian Full Time Employee,1177619,4c57f0c88d9844630327623633ce269cf826ab99,319,ON,1,a16e214b18493383b9abbd6193bcc02b6c434308,NO ACCESS
